"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","Recross the Paths","mor","Near Mint","English","","","2025-01-05 06:53:10.357000","133","False","False","0.25"
"3","3","Recross the Paths","mor","Good (Lightly Played)","English","","","2025-01-05 07:04:42.400000","133","False","False","0.20"
"3","3","Red Elemental Blast","3ed","Good (Lightly Played)","English","","","2025-01-05 05:50:14.390000","171","False","False","1.59"
"4","4","Red Elemental Blast","4ed","Near Mint","English","","","2025-01-05 20:01:41.457000","218","False","False","0.25"
"4","4","Reduce // Rubble","akh","Good (Lightly Played)","English","","","2025-01-05 23:22:48.510000","216","False","False","0.06"
"2","2","Reforge the Soul","avr","Near Mint","English","","","2025-01-05 19:31:18.107000","151","False","False","5.49"
"4","4","Renewed Faith","akh","Good (Lightly Played)","English","","","2025-01-05 23:05:00.867000","25","False","False","0.11"
"4","4","Resourceful Return","aer","Near Mint","English","","","2025-01-05 06:27:19.540000","70","False","False","0.25"
"4","4","Retraction Helix","bng","Played","English","","","2025-01-05 20:14:39.630000","49","False","False","0.14"
"4","4","Return to Nature","war","Near Mint","English","","","2025-01-05 07:16:32.443000","175","False","False","0.25"
"4","4","Ricochet Trap","wwk","Good (Lightly Played)","English","","","2025-01-05 19:49:35.397000","87","False","False","0.28"
"3","3","Rise from the Tides","soi","Good (Lightly Played)","English","","","2025-01-05 23:14:20.163000","83","False","False","0.13"
"4","4","Rubblebelt Maverick","mkm","Near Mint","English","","","2025-01-05 23:59:10.273000","174","False","False","0.35"
"2","2","Rugged Highlands","ktk","Good (Lightly Played)","English","foil","","2025-01-05 05:39:17.327000","240","False","False","0.20"
"3","3","Sacred Ground","8ed","Good (Lightly Played)","English","","","2025-01-05 06:40:08.710000","39","False","False","0.28"
"4","4","Sakura-Tribe Elder","c16","Near Mint","English","","","2025-01-05 23:36:56.507000","164","False","False","1.19"
"3","3","Saruli Gatekeepers","dgm","Near Mint","English","","","2025-01-05 06:28:24.670000","48","False","False","0.25"
"4","4","Satyr Wayfinder","m3c","Near Mint","English","","","2025-01-05 23:59:31.507000","244","False","False","0.35"
"2","2","Scattered Groves","akh","Good (Lightly Played)","English","","","2025-01-05 23:15:53.813000","247","False","False","1.75"
"2","2","Scattered Groves","akh","Near Mint","English","","","2025-01-05 23:01:51.160000","247","False","False","1.80"
"3","3","Scattershot Archer","con","Good (Lightly Played)","English","","","2025-01-05 23:41:44.617000","90","False","False","0.37"
"1","1","Scrapwork Mutt","bro","Good (Lightly Played)","English","","","2025-01-05 23:54:56.950000","164","False","False","0.39"
"1","1","Scrapwork Mutt","bro","Near Mint","English","","","2025-01-05 23:46:12.663000","164","False","False","0.14"
"4","4","Search for Tomorrow","ima","Near Mint","English","","","2025-01-05 06:53:33.813000","185","False","False","0.25"
"4","4","Searing Spear","m13","Good (Lightly Played)","English","","","2025-01-05 23:24:28.107000","147","False","False","0.09"
"4","4","Seat of the Synod","mrd","Good (Lightly Played)","English","","","2025-01-05 05:51:01.667000","283","False","False","2.39"
"1","1","Selesnya Guildgate","rtr","Good (Lightly Played)","English","","","2025-01-05 06:40:38.063000","246","False","False","0.20"
"2","2","Serene Heart","mir","Good (Lightly Played)","English","","","2025-01-05 05:39:41.253000","242","False","False","0.20"
"1","1","Shefet Monitor","akh","Good (Lightly Played)","English","","","2025-01-05 23:23:17.263000","186","False","False","0.06"
"3","3","Shefet Monitor","akh","Good (Lightly Played)","English","","","2025-01-05 23:05:14.520000","186","False","False","0.07"
"6","6","Shenanigans","mh1","Near Mint","English","","","2025-01-05 07:20:25.390000","146","False","False","0.25"
"4","4","Shred Memory","rav","Good (Lightly Played)","English","","","2025-01-05 23:02:09.783000","105","False","False","0.50"
"4","4","Silverbluff Bridge","mh2","Near Mint","English","","","2025-01-05 06:01:54.537000","255","False","False","0.25"
"4","4","Silverbluff Bridge","mh2","Near Mint","English","","","2025-01-05 03:17:24.900000","255","False","False","0.39"
"4","4","Simic Guildgate","dgm","Good (Lightly Played)","English","","","2025-01-05 23:23:49.517000","156","False","False","0.05"
"1","1","Simic Signet","dis","Near Mint","English","","","2025-01-05 05:32:36.400000","166","False","False","0.49"
"4","4","Siren Stormtamer","cmr","Near Mint","English","","","2025-01-05 06:10:44.877000","96","False","False","0.49"
"4","4","Skred","csp","Good (Lightly Played)","English","","","2025-01-05 20:08:17.737000","97","False","False","2.79"
"4","4","Skyshroud Ranger","10e","Near Mint","English","","","2025-01-05 06:29:25.590000","297","False","False","0.29"
"2","2","Sleep","m10","Near Mint","English","","","2025-01-05 06:15:30.913000","71","False","False","0.20"
"1","1","Sleep","m10","Near Mint","English","","","2025-01-05 06:11:35.933000","71","False","False","0.25"
"3","3","Smash to Smithereens","ori","Good (Lightly Played)","English","","","2025-01-05 19:49:50.583000","163","False","False","0.20"
"11","11","Snow-Covered Island","mh1","Near Mint","English","","","2025-01-05 20:02:35.680000","251","False","False","1.29"
"4","4","Snow-Covered Mountain","mh1","Near Mint","English","","","2025-01-05 20:02:52.827000","253","False","False","0.99"
"1","1","Snuff Out","mmq","Played","English","","","2025-01-06 00:04:28.990000","162","False","False","8.39"
"3","3","Snuff Out","who","Near Mint","English","","","2025-01-05 23:59:53.777000","222","False","False","8.99"
"8","8","Sojourner's Companion","mh2","Near Mint","English","","","2025-01-05 06:02:12.620000","235","False","False","0.25"
"4","4","Spatial Contortion","ogw","Near Mint","English","","","2025-01-05 07:16:52.730000","8","False","False","0.25"
"3","3","Spectral Sailor","m20","Good (Lightly Played)","English","","","2025-01-05 06:15:57.997000","76","False","False","0.23"
"1","1","Spectral Sailor","m20","Near Mint","English","","","2025-01-05 06:12:00.500000","76","False","False","0.25"
"1","1","Spell Pierce","zen","Near Mint","English","","","2025-01-05 06:12:23.843000","67","False","False","0.35"
"3","3","Spell Pierce","zen","Good (Lightly Played)","English","","","2025-01-05 06:16:20.763000","67","False","False","0.28"
"2","2","Spellstutter Sprite","mma","Good (Lightly Played)","English","","","2025-01-05 03:59:29.783000","65","False","False","3.19"
"2","2","Spellstutter Sprite","lrw","Good (Lightly Played)","English","","","2025-01-05 03:59:16.637000","89","False","False","3.59"
"4","4","Spellstutter Sprite","lrw","Good (Lightly Played)","English","","","2025-01-05 20:08:34.557000","89","False","False","1.59"
"2","2","Sphere of Safety","rtr","Good (Lightly Played)","English","","","2025-01-05 06:41:19.293000","24","False","False","1.83"
"4","4","Spine of Ish Sah","cm2","Near Mint","English","","","2025-01-05 07:15:27.653000","220","False","False","0.49"
"4","4","Steel Hellkite","cm2","Near Mint","English","","","2025-01-05 06:54:00.723000","222","False","False","0.35"
"3","3","Steel Hellkite","c18","Near Mint","English","","","2025-01-05 23:39:15.900000","224","False","False","0.97"
"3","3","Stinkweed Imp","plst","Good (Lightly Played)","English","","","2025-01-05 23:55:45.147000","GK1-53","False","False","1.59"
"1","1","Stinkweed Imp","mma","Good (Lightly Played)","English","","","2025-01-05 23:55:29.170000","98","False","False","1.59"
"4","4","Storm Entity","fut","Good (Lightly Played)","English","","","2025-01-05 19:50:23.277000","122","False","False","0.23"
"4","4","Stormbound Geist","dka","Near Mint","English","","","2025-01-05 07:20:37.343000","51","False","False","0.25"
"2","2","Stormbound Geist","dka","Good (Lightly Played)","English","","","2025-01-05 03:59:37.577000","51","False","False","0.20"
"4","4","Stormchaser Mage","ogw","Near Mint","English","","","2025-01-05 20:14:03.993000","159","False","False","0.60"
"1","1","Stream of Thought","mh1","Near Mint","English","","","2025-01-05 05:32:53.317000","71","False","False","0.25"
"4","4","Submerged Boneyard","aer","Good (Lightly Played)","English","","","2025-01-05 23:21:49.007000","194","False","False","0.07"
"2","2","Suffocating Fumes","iko","Near Mint","English","","","2025-01-05 03:18:06.787000","100","False","False","0.25"
"4","4","Surge Mare","m19","Near Mint","English","","","2025-01-05 06:12:36.390000","77","False","False","0.25"
"1","1","Swamp","btd","Played","English","","","2025-01-05 03:06:49.267000","83","False","False",""
"1","1","Swamp","s99","Played","English","","","2025-01-05 03:06:41.070000","163","False","False",""
"1","1","Swiftwater Cliffs","frf","Near Mint","English","","","2025-01-05 05:33:19.947000","172","False","False","0.25"
"4","4","Swiftwater Cliffs","ema","Good (Lightly Played)","English","","","2025-01-05 23:24:10.700000","245","False","False","0.10"
"4","4","Swiftwater Cliffs","ktk","Near Mint","English","","","2025-01-05 22:26:45.780000","243","False","False","0.10"
"4","4","Swirling Sandstorm","jud","Near Mint","English","","","2025-01-05 07:20:49.060000","102","False","False","0.49"
"2","2","Swirling Sandstorm","jud","Good (Lightly Played)","English","","","2025-01-05 20:08:50.153000","102","False","False","0.39"
"4","4","Sylvan Scrying","bfz","Near Mint","English","","","2025-01-05 07:12:11.660000","192","False","False","0.25"
"4","4","Take Inventory","emn","Good (Lightly Played)","English","","","2025-01-05 23:03:02.763000","76","False","False","0.04"
"3","3","Tempest Djinn","dom","Good (Lightly Played)","English","","","2025-01-05 06:16:49.787000","68","False","False","0.39"
"1","1","Tempest Djinn","dom","Near Mint","English","","","2025-01-05 06:12:59.117000","68","False","False","0.49"
"1","1","Temur Battle Rage","frf","Good (Lightly Played)","English","","","2025-01-05 05:51:38.597000","116","False","False","0.23"
"3","3","Terra Eternal","wwk","Good (Lightly Played)","English","","","2025-01-05 06:42:12.673000","22","False","False","0.39"
"4","4","Terrarion","emn","Good (Lightly Played)","English","","","2025-01-05 06:17:26.640000","201","False","False","0.20"
"4","4","Think Twice","isd","Good (Lightly Played)","English","","","2025-01-05 23:03:27.300000","83","False","False","0.15"
"1","1","Thorn of the Black Rose","cmr","Near Mint","English","","","2025-01-05 03:18:22.543000","154","False","False","0.25"
"1","1","Thornwood Falls","frf","Near Mint","English","","","2025-01-05 05:33:37.507000","173","False","False","0.25"
"4","4","Thought Scour","plst","Near Mint","English","","","2025-01-05 03:18:55.827000","IMA-76","False","False","0.69"
"4","4","Thoughtcast","mrd","Near Mint","English","","","2025-01-05 05:51:59.247000","54","False","False","1.43"
"3","3","Thragtusk","m13","Good (Lightly Played)","English","","","2025-01-05 07:05:04.843000","193","False","False","1.99"
"1","1","Thragtusk","m13","Near Mint","English","","","2025-01-05 06:54:46.577000","193","False","False","2.49"
"4","4","Tormented Soul","m13","Good (Lightly Played)","English","","","2025-01-05 23:13:42.240000","111","False","False","0.06"
"3","3","Tormod's Crypt","m15","Good (Lightly Played)","English","","","2025-01-05 19:50:45.060000","237","False","False","0.55"
"4","4","Tormod's Crypt","m13","Played","English","","","2025-01-05 20:15:53.697000","219","False","False","0.22"
"4","4","Trading Post","c16","Near Mint","English","","","2025-01-05 07:15:45.710000","278","False","False","0.39"
"4","4","Tragic Slip","dka","Good (Lightly Played)","English","","","2025-01-05 23:03:54.750000","76","False","False","0.17"
"4","4","Troll of Khazad-dûm","ltr","Near Mint","English","","","2025-01-06 00:00:11.623000","111","False","False","1.79"
"4","4","Ulamog's Crusher","roe","Good (Lightly Played)","English","","","2025-01-05 23:37:49.310000","13","False","False","0.15"
"1","1","Ulamog's Crusher","roe","Good (Lightly Played)","English","","","2025-01-05 05:40:04.377000","13","False","False","0.20"
"1","1","Unexpected Fangs","iko","Near Mint","English","","","2025-01-05 03:19:10.643000","102","False","False","0.25"
"4","4","Urza's Mine","chr","Good (Lightly Played)","English","","","2025-01-05 07:13:20.250000","114b","False","False","1.59"
"4","4","Urza's Mine","2xm","Near Mint","English","","","2025-01-05 05:34:21.430000","329","False","False","0.69"
"1","1","Urza's Power Plant","chr","Good (Lightly Played)","English","","","2025-01-05 07:13:57.223000","115b","False","False","1.83"
"4","4","Urza's Power Plant","2xm","Near Mint","English","","","2025-01-05 05:35:06.403000","330","False","False","0.69"
"1","1","Urza's Tower","chr","Good (Lightly Played)","English","","","2025-01-05 07:14:42.310000","116c","False","False","1.83"
"4","4","Urza's Tower","2xm","Near Mint","English","","","2025-01-05 05:36:07.137000","331","False","False","0.39"
"4","4","Utopia Sprawl","dis","Good (Lightly Played)","English","","","2025-01-05 07:07:35.200000","99","False","False","2.79"
"1","1","Vandalblast","rtr","Near Mint","English","","","2025-01-05 22:27:13.847000","111","False","False","0.48"
"2","2","Vandalblast","rtr","Played","English","","","2025-01-05 20:16:09.413000","111","False","False","0.45"
"4","4","Vault of Whispers","mrd","Good (Lightly Played)","English","","","2025-01-05 06:17:53.047000","286","False","False","0.63"
"4","4","Vessel of Nascency","a25","Near Mint","English","","","2025-01-05 06:55:12.993000","193","False","False","0.25"
"4","4","Victim of Night","isd","Good (Lightly Played)","English","","","2025-01-05 19:51:49.900000","124","False","False","0.39"
"4","4","Warping Wail","ogw","Near Mint","English","","","2025-01-05 07:17:09.973000","12","False","False","0.39"
"3","3","Weather the Storm","mh1","Near Mint","English","","","2025-01-05 05:36:25.837000","191","False","False","0.25"
"1","1","White Sun's Zenith","c17","Near Mint","English","","","2025-01-05 06:30:01.370000","78","False","False","0.25"
"1","1","White Sun's Zenith","c14","Good (Lightly Played)","English","","","2025-01-05 06:43:09.773000","95","False","False","0.20"
"2","2","Witching Well","eld","Near Mint","English","","","2025-01-05 06:02:27.520000","74","False","False","0.25"
"4","4","Wizard's Retort","jmp","Near Mint","English","","","2025-01-05 06:13:25.933000","198","False","False","0.29"
"1","1","Wooded Ridgeline","dmu","Near Mint","English","","","2025-01-06 00:00:23.193000","260","False","False","0.35"
"4","4","Zephyr Scribe","dtk","Played","English","","","2025-01-05 20:14:59.543000","85","False","False","0.10"
